project_title,agency_identifier,start_date,end_date,detail_url
2026 Yılı Türk Dünyası Turizm Başkenti Ankara Teknik Destek Programı,ankaraka,2026-06-03,2026-12-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qQWALPimP448NkzCZ0YO3HVQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Fizibilite Desteği Programı,cka,2026-03-01,2026-12-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qXRXLHQRty3d_1yA2oJR-f1QoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Kırsal İşletmeler Teknik Destek Programı,ankaraka,2026-04-07,2026-12-30,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qSpWSxO9g0EdbxYGjF1IaCVQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Teknik Destek Programı,cka,2026-03-01,2026-12-29,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qamaLbcz01TJ-VTo6-sZ4PBQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Yönetim Danışmanlığı Teknik Destek Programı,fka,2026-03-13,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qXpXKzdPdqS3UEwB6PyTf9NQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
Fırat Turu Destek Programı (2025-2026),fka,2025-07-28,2026-10-30,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qezYcM-p074WPsHoyogixSVQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
GMKA Yatırım Ortamının İyileştirilmesi Teknik Destek Programı,gmka,2026-02-01,2026-10-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qfF3y-Sh2QhhH5RCQng7YmRQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
GMKA Yönetim Danışmanlığı Teknik Destek Programı,gmka,2026-03-01,2026-10-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qbozn-hyzesrsCTT-GDVwZxQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
GMKA Beşeri ve Sosyal Gelişim Teknik Destek Programı,gmka,2026-03-01,2026-10-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qdfQV9nf3wV0UhAGml1CNyZQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
ANKARAKA 2026 Yılı Ankara Sağlık Turizmi Teknik Destek Programı,ankaraka,2026-02-20,2026-12-31,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qUGVaO2He2c5L-NH1kGA0aVQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
ANKARAKA 2026 Yılı Sosyal Yenilik ve Sosyal Kalkınma Teknik Destek Programı,ankaraka,2026-02-20,2026-10-30,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qeRkQLo2WuMSGo8JIr8tvc5QoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Turizm Odaklı Yatırım Projeleri Fizibilite Desteği Programı,oka,2026-02-03,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qWABDExe7dcSGm7aAh4ewZtQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Katma Değerli Üretim ve İhracat Odaklı Fizibilite Desteği Programı,oka,2026-02-03,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qTxmudzcE8Ihmmjo2IVSUQtQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Anadoludakiler: Turizm ve Yöresel Değerler Teknik Destek Programı,oka,2026-01-15,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qc6HfV3sk_H2bl-GNkVx6JhQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı İhracatta İkiz Dönüşüm Teknik Destek Programı,oka,2026-01-15,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qVit46_PrR0b4EjTLY48wQ1QoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
2026 Yılı Sosyal Kalkınma ve Girişimcilik Teknik Destek Programı,oka,2026-01-15,2026-12-25,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qbW5pY_yog_KHajYGalkKLZQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
Rekabetçi Sanayi İşletmeleri Alternatif Destek Programı,geka,2025-11-10,2026-10-15,https://api.ka.gov.tr/redirect/xskIzvClflOp7C_r57M6qVpDe-XiUWkJetyA1iO1eqVQoGgn2dynZJ0DWSQf0U8V5ocJI0ugAAcfgUluQYxEQw==
